company_key,Company Name,Company Website,Company LinkedIn,Company Industry,Company Country,lead_count
tennr.com,Tennr,tennr.com,https://www.linkedin.com/company/tennrai,software development,United States,4
umpquabank.com,Umpqua Bank,umpquabank.com,https://www.linkedin.com/company/umpqua-bank,banking,United States,1
moengage.com,MoEngage,moengage.com,https://www.linkedin.com/company/moengage,software development,United States,2
liveatinland.com,Inland Residential Real Estate Services LLC,liveatinland.com,https://www.linkedin.com/company/inland-residential-real-estate-services-llc,real estate,United States,1
maestrolearning.com,Maestro,maestrolearning.com,https://www.linkedin.com/company/maestrolearning,higher education,United States,1
evisit.com,eVisit,evisit.com,https://www.linkedin.com/company/evisit,hospitals and health care,United States,2
conviva.com,Conviva,conviva.com,https://www.linkedin.com/company/conviva,software development,United States,3
twoxfour.com,Two by Four,twoxfour.com,https://www.linkedin.com/company/2x4agency,advertising services,United States,1
acsisinc.com,Antares Vision Group | Supply Chain,acsisinc.com,https://www.linkedin.com/company/acsis-inc,software development,United States,1
lsvp.com,Lightspeed,lsvp.com,https://www.linkedin.com/company/lightspeed-venture-partners,venture capital and private equity principals,United States,2
apexanalytix.com,apexanalytix,apexanalytix.com,https://www.linkedin.com/company/apex-analytix,software development,United States,1
plaud.ai,Plaud,plaud.ai,https://www.linkedin.com/company/plaudai,software development,United States,1
argodata.com,ARGO,argodata.com,https://www.linkedin.com/company/argo,software development,United States,1
censys.com,Censys,censys.com,https://www.linkedin.com/company/censysio,computer and network security,United States,1
fandisentinel.com,F&I Sentinel,fandisentinel.com,https://www.linkedin.com/company/f-i-sentinel,software development,United States,1
on3.com,On3 | Rivals,on3.com,https://www.linkedin.com/company/on3-rivals,"technology, information and internet",United States,1
disscapital.com,DISS Capital Inc.,disscapital.com,https://www.linkedin.com/company/disscapital,financial services,United States,1
verdigris.co,Verdigris,verdigris.co,https://www.linkedin.com/company/verdigris,software development,United States,1
hireart.com,HireArt,hireart.com,https://www.linkedin.com/company/hireart,software development,United States,1
waystar.com,Waystar,waystar.com,https://www.linkedin.com/company/waystar,software development,United States,2
ivix.ai,IVIX,ivix.ai,https://www.linkedin.com/company/ivix-ai,software development,United States,1
squareworks.com,Charted (formerly SquareWorks),squareworks.com,https://www.linkedin.com/company/charted-formerly-squareworks,software development,United States,1
revolve.com,REVOLVE,revolve.com,https://www.linkedin.com/company/revolve-,retail apparel and fashion,United States,2
empyreansolutions.com,Empyrean Solutions,empyreansolutions.com,https://www.linkedin.com/company/empyreansolutions,software development,United States,1
mcim24x7.com,MCIM,mcim24x7.com,https://www.linkedin.com/company/mcim,software development,United States,1
rzsoftware.com,Redzone,rzsoftware.com,https://www.linkedin.com/company/qad-redzone,software development,United States,5
terzo.ai,Terzo,terzo.ai,https://www.linkedin.com/company/terzoai,software development,United States,1
thermacell.com,"Thermacell Repellents, Inc.",thermacell.com,https://www.linkedin.com/company/thermacell,manufacturing,United States,1
nextbee.com,NextBee,nextbee.com,https://www.linkedin.com/company/nextbee-media,software development,United States,1
datassential.com,Datassential,datassential.com,https://www.linkedin.com/company/datassential,information services,United States,2
firstcontinentalmtg.com,"First Continental Mortgage, Ltd.",firstcontinentalmtg.com,https://www.linkedin.com/company/first-continental-mortgage,financial services,United States,1
realterm.com,Realterm,realterm.com,https://www.linkedin.com/company/realterm,real estate,United States,1
dukal.com,"Dukal, LLC",dukal.com,https://www.linkedin.com/company/dukal,medical equipment manufacturing,United States,2
linksquares.com,LinkSquares,linksquares.com,https://www.linkedin.com/company/linksquares,software development,United States,1
alineops.com,Aline,alineops.com,https://www.linkedin.com/company/alineops,software development,United States,1
scriptpro.com,ScriptPro,scriptpro.com,https://www.linkedin.com/company/scriptpro,pharmaceutical manufacturing,United States,1
chainalysis.com,Chainalysis,chainalysis.com,https://www.linkedin.com/company/chainalysis,software development,United States,1
fortressinfosec.com,Fortress Information Security,fortressinfosec.com,https://www.linkedin.com/company/fortress-information-security,computer and network security,United States,1
coderpad.io,CoderPad,coderpad.io,https://www.linkedin.com/company/coderpad,software development,United States,1
verily.com,Verily Health,verily.com,https://www.linkedin.com/company/verilyhealth,hospitals and health care,United States,7
spin.ai,Spin.AI,spin.ai,https://www.linkedin.com/company/spintechinc,security and investigations,United States,1
cimgroup.com,CIM Group,cimgroup.com,https://www.linkedin.com/company/cimgroup,financial services,United States,1
extensiv.com,Extensiv,extensiv.com,https://www.linkedin.com/company/goextensiv,software development,United States,1
